Region,Country,ISO.Code,RE.or.Non.RE,Group.Technology,Technology,Producer.Type,Year,Electricity.Installed.Capacity..MW.
Africa,Cabo Verde,CPV,Total Renewable,Wind energy,Onshore wind energy,On-grid,2017,27
Africa,Cabo Verde,CPV,Total Renewable,Wind energy,Onshore wind energy,On-grid,2018,28
Africa,Cabo Verde,CPV,Total Renewable,Wind energy,Onshore wind energy,On-grid,2019,28
Africa,Cabo Verde,CPV,Total Renewable,Wind energy,Onshore wind energy,On-grid,2020,28
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2017,43
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2018,43
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2019,43
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,Off-grid,2020,43
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,592
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,662
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,662
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,662
Africa,Cameroon,CMR,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,662
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2016,0
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2017,0
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2018,0
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2019,0
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2020,0
Africa,Cameroon,CMR,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,732
